true / false

103756638431424 / 126338965314992
71530797699152 / 139467250941186
140274992727674 / 114919972855749
13669596226 / 114145257784733
92507043975987 / 103617295853351
78444300241002 / 82542262141050
73083192417167 / 133381721935297
111446970564068 / 126499993375104
117412101634661 / 119017305260125
89650511699291 / 125388411483932
104505888490530 / 71162873072320
80833921164928 / 109085681878642
133525068016062 / 105483822287646
81424285410635 / 134918566199045
119749501142759 / 108526593194841
71530624286983 / 123808883513451
93053302480913 / 110848794482480
109108556601836 / 122089697053143
123294443322232 / 117108755896717
115845832644202 /  138010420531907
77485390482408 / 74125870896042
135505001710899 / 101818967817482
81219759541734 / 123400307081447
76203459031816 / 138375892926370
128201170198655 / 90126366270592
135424141836021 / 73062785816024
129685636075544 / 112128735371456
114781462857298 / 137120105965457
90053358643116 / 122389083436718
127729056874348 / 126337679668291
135749629268095 / 101143758559793
102784968675380 / 132882125886320
117386262827574 / 137366888680207
106714602210447 / 117841355874071
102581880417560 / 134994576750734
120690824598008 / 133132454830999
100666893023695 / 75710700785877
115275455408875 / 106538790574613
78196520359520 /  76184380112329
98487292940824 /  73733279378304
136580317866274 / 97583094703862
128431015548692 / 138767609462883
71612453068073 /  86974784037147
75581020148713 / 88537100148502
117499438414153 / 80362298019510
99394166714751 / 80210735146025
98860834972788 / 74787132835767
83311031919072 / 111124949106759
130917730093227 / 122894349601328
88159225410749 / 113379073083860
86769859580960 / 113303265394573
78692650589893 / 104637587159367
119856964800437 / 75303114521336
75626662942958 / 137476610270109
108893848548445 / 126177404588898
75972904561189 /  93686041039413
115977682563925 / 70878185794254
107833760486953 / 111062338001313
98315620126709 / 117436245905015
88276106635147 / 135334826162451
70737739873803 / 135334826162451
93225228117207 / 112212264521945
139750691079803 / 96171295057298
120146309442257 / 97850914158810
91873978494816 / 97601212239088
103641529589740 / 140392713968971
126232452814102 / 97593432224392
119876167813174 / 137460441453036
87622337266536 / 139362253486216
107244239371238 / 113667273347926
71689573010066 / 122359127106684
82749705364794 / 130395080016503
135163215807461 / 105823571615993
106296069108947 / 136968263449861
127273243325022 / 122033471417346
80135941683023 / 92161669822882
113237125778573 / 134037080190431
83994193214577 / 95658424049915
70791831426162 / 74681501346149
88425005997306 / 124717337798531
127319089060025 / 78409921530773
95179383926684 / 100397662976913
124579710431161 / 96534907801690
133335011574120 / 76186255672468
75325162078155 / 105969604351266
71089616103440 / 98652490210189
74683008468352 / 96263923027362
125830798041011 / 85102490750839
128345268688313 / 81540613665726
120927856749825 / 91033877742469
70534329371895 / 77432390285440
108529152648146 / 117938940689434
76012522896165 / 102632766727099
122161136976314 / 100614668609175
87564676275247 / 107370870355297
121273140590185 / 108862974751377
74617736728809 / 98963149289893
96263666252077 / 74986013378366
138464795188333 / 83412043327650
